name,description,address,county,country,email,phone,website,other_categories,contact_name,contact_title,contact_email,contact_phone,year_incorporated,tax_status,accreditation,licenses,transportation_details,tax_form_990_link,annual_report_link,united_way_211_link
AAA Translation,"AAA Translation provides professional translation, interpretation, marketing, and global consulting services to help businesses and organizations grow through successful expansion into international markets. AAA Translation has worked for over twenty years to serve clients in every industry, and in any language – anytime – anywhere.","17295 Chesterfield Airport Road Suite 200, Chesterfield, MO 63005","",,"",636.530.1010,"",,"","","","",,"","","","","","",""
Accelerate St. Louis,"Accelerate St. Louis connects entrepreneurs with the resources they need to tap into the St. Louis startup ecosystem. Entrepreneurs can use Accelerate St. Louis to find toolkits, events, funding, and more to help them launch and grow their businesses.","211 N Broadway Suite 1300, Saint Louis, MO 63102","",,"",314.444.1154,http://acceleratestlouis.org/,,"","","","",,"","","","","","",""
Adult Education & Literacy (AEL) - Jefferson College,"Adult Education classes provide the opportunity for adults to improve their basic skills, study for the HSE/HiSET test, and enhance their workforce and college readiness skills.

When a student is ready to begin class, the student and the instructor will design a plan of study to help the student reach their goals. Jefferson College is pleased to be able to provide this opportunity for students to discover their future, and we invite potential students to join us!","1000 Viking Dr, Hillsboro, MO 63050","",,"",636.481.3000,https://www.jeffco.edu/AEL#.Wr03uIjwa00,,"","","","",1960,"","","","","","",""
Adult Education & Literacy (AEL) - Parkway-Rockwood Area,"The Parkway-Rockwood Community Ed Adult Education & Literacy departments offer FREE programs in Basic Education/High School Equivalency, Citizenship and Civics, and English as a Second Language. ","13157 N Olive Spur Rd, Saint Louis, MO 63141","",,"",314.415.4940,http://www.prcommunityed.org/ael/hse/Pages/default.aspx,,Mary Grott,Adult Education & Literacy Supervisor,grottmary@prcommunityed.org,"",,"","","","","","",""
Adult Education & Literacy (AEL) - Ritenour,"The Ritenour Adult Education & Literacy (AEL) Program provides free services that help adult students obtain the skills necessary to earn a High School Equivalency (HSE) diploma, prepare for post-secondary education, become U.S. citizens, improve English-as-a-Second Language (ESL) proficiency, find and keep a job, and achieve other academic, employment, or personal goals.","8762 St. Charles Rock Road Suite 103, St. John, MO 63114","",,"",314.493.6412,http://www.ritenour.k12.mo.us/domain/63,,"","","","",,"","","","","","",""
Adult Education & Literacy (AEL) - St. Charles Community College,"SCC coordinates a four-county program (St. Charles, Warren, Lincoln and Pike) to prepare people for their High School Equivalency and to assist non-native speakers in gaining English proficiency.","4601 Mid Rivers Mall Dr, Saint Peters, MO 63376","",,"",636.922.8411,https://www.stchas.edu/community-resources/lifelong-learning/literacy-education,,Mandy Rose,Associate Dean of AEL,arose@stchas.edu,636.922.8389,,"","","","","","",""
Adult Education & Literacy (AEL) - St. Louis Community College (Kirkwood),"The Adult Education & Literacy Program from St. Louis Community College serves people in the school districts of Affton, Bayless, Kirkwood, Lindbergh, Mehlville-Oakville, St. Louis City, Valley Park and Webster Groves, offering free High School Equivalency classes as well as ESL classes. ","4900 S Lindbergh, Saint Louis, MO 63125","",,"",314.984.7777;  314.984.7805,http://www.stlcc.edu/Continuing-Education/Adult-Education-and-Literacy/Index.html,,"","","","",1962,"","","","","","",""
Adult Education & Literacy (AEL) - St. Louis Public Schools,The Adult Education & Literacy Program from St. Louis Public Schools,"5078 Kensington, Saint Louis, MO 63108","",,"",314.367.5000,http://stlael.weebly.com/,,"","","","",,"","","","","","",""
Adult Education & Literacy (AEL) - University City,"The School District of University City Adult Education & Literacy Program (AEL) Program provides basic education to adults, ages 16 and over, so they may become productive, self-sufficient, and contributing members of society. This education is in High School Equivalency classes, Literacy education, and ESL classes.","McNair Administration Bldg,8136 Groby Rd, University City, MO 63130","",,"",314.290.4052,http://www.ucityaelprogram.org/,,"","","","",1868,"","","","","","",""
Affinia Healthcare,"Affinia Healthcare is a dynamic and transformative health system, providing affordable primary and preventive health care services on a sliding fee scale to residents of St. Louis and surrounding areas.","1717 Biddle Street, Saint Louis, MO 63106","",,"",314.814.8700,http://affiniahealthcare.org/,,"","","","",1906,"","","","","","",""
African Chamber of Commerce,"The mission is to build a community of African professionals, business owners and those engaged in business throughout the African continent for the economic development of the St. Louis region. They intend to become the prime resource center and leading advocate for African business community in local, national and international markets","911 Washington Ave Suite 501, Saint Louis, MO 63101","",,"",314.835.8120,https://www.africanchamberstl.com/,,"","","","",2017,"","","","","","",""
African Diaspora Council,"Community organization that offers educational, financial, and social advocacy services. It also presents cultural and artistic projects to instill pride in African diaspora communities.","1425 Ferguson Ave, Saint Louis, MO 63133","",,"",314.399.7470,http://africandiasporacouncil.org/,,"","","","",2014,"","","","","","",""
AILA's Immigration Lawyer Search,The American Immigration Lawyers Association offers a search tool for people looking for lawyers across the country.,"1331 G Street Suite 300, Washington, DC 20005","",,"",202.507.7600,http://www.ailalawyer.com/,,"","","","",1946,"","","","","","",""
"All Access Interpreters, LLC","All Access Interpreters offers online video conference interpretations, as well as phone and in-person interpretations, all in the practice of health care. ","8460 Watson Rd Suite 140, Saint Louis, MO 63119","",,"",888.508.8538;  314.259.1010,http://interpreter.services/,,"","","","",,"","","","","","",""
Alliance Française de St. Louis,"Connects youth and adults with opportunities to learn how to read, write, and converse in French language.","930 N McKnight Rd, Saint Louis, MO 63132","",,"",314.432.0734,http://alliancestl.org/,,"","","","",1964,"","","","","","",""
Al-Salam Day School,"Al-Salam Day School offers a comprehensive education program of Islamic value with a core curriculum in math, science, language, social study along with Arabic and Quranic study.","519 Weidman Rd, Ballwin, MO 68011","",,"",636.394.8986,https://islamstl.org/al-salam-day-school/,,"","","","",1990,"","","","","","",""
American Red Cross Eastern Missouri,"Assists St. Louisans in locating missing loved ones, exchanging family messages and inquiring about the safety of family members in affected areas around the world.","10195 Corporate Square, Creve Coeur, MO 63132","",,"",314.516.2800,http://www.redcross.org/mo/st-louis,,"","","","",1917,"","","","","","",""
Amnesty International St. Louis,"We work to protect people wherever justice, freedom, truth, and dignity are denied. Amnesty International is a global movement of millions of people demanding human rights for all people – no matter who they are or where they are. We are the world’s largest grassroots human rights organization.","438 N Skinker Blvd, Saint Louis, MO 63108","",,"","",https://sites.google.com/site/aistlouislocalgroup105/,,"","","","",,"","","","","","",""
Ancient Order of Hibernians - Father Dempsey Division 1,"The oldest Catholic lay organization in America; dedicated to Friendship, Unity, and Christian Charity.

Meets 2nd Friday Each Month - 8:15 PM
St. James the Greater Gymnasium
1360 Tamm Avenue, St. Louis, MO 63139","6614 Clayton Rd #158, Saint Louis, MO 63139","",,"",314.520.6281,http://stlhibernians.com,,"","","","",,"","","","","","",""
"Anti-Defamation League, St. Louis Office","The ADL provides anti-bias education for early childhood, K-12, campus, community, police, and beyond. We advocate for civil rights for all, religious freedom broadly and in support of victims of hate crime and bias incidents. We engage in interfaith and intergroup activities and support all forms of community building for the region.","34 N Brentwood Blvd Suite 2, Saint Louis, MO 63105","",,"",314.627.330,http://stlouis.adl.org/,,"","","","",1958,"","","","","","",""
Asian American Chamber of Commerce,"Serve as a connector for St. Louis businesses to the Asian community, provide professional development opportunities for Asian professionals and Asian-owned business, connect St. Louis businesses to Asia, and attract Asian foreign direct investment to the region.","7700 Olive Blvd, Saint Louis, MO 63130","",,"","",http://aaccstl.org,,"","","","",2011,"","","","","","",""
Berlitz,"Our mission is to enable customers to achieve their goals in a global environment by understanding their individual needs and providing the most effective solutions in language, communication, and cultural competence anywhere in the world. Berlitz helps individuals and businesses, governments and non-profit organizations develop the language, cross-cultural and leadership skills necessary for success.","400 Alexander Park Dr, Princeton, NJ 8540","",,"",1.866.423.7548,http://www.berlitz.us/,,"","","","",,"","","","","","",""
"Better Family Life, Inc.","BFL's programming, including the Business Development Center,  is geared towards people who are unemployed, underemployed, disadvantaged and skill-deficient, including refugees and immigrants.","5415 Page Blvd, Saint Louis, MO 63112","",,"",314.367.3440,http://betterfamilylife.org/,,Deborah Ahmed,Executive Director,dahmed@betterfamilylife.org,"",1983,"","","","","","",""
Beyond Housing,"Beyond Housing is a comprehensive community development organization convening partners and providing leadership. From purchasing a home to health, education, jobs, and economic development, they offer holistic resources and support.","6506 Wright Way, Saint Louis, MO 63121","",,"",314.533.0600,http://www.beyondhousing.org/,,"","","","",1975,"","","","","","",""
Bilingual International Assistance Services (BIAS),"Bilingual International provides direct multilingual services to help increase new American access to healthcare and social services. Free of negative bias, Bilingual International advocates for and encourages legislation that promotes statewide accessible, appropriate health and social services for under-served individuals and populations.  ","1329 Macklind Ave, Saint Louis, MO 63110","",,"",314.645.7800,http://www.bilingualstl.org,,Jason Baker,Executive Director,jason.baker@bilingualstl.org,"",2002,"","","","","","",""
Bosnian American Professional Network,"The goal of the BAPN networking group is to bring together a group of local business owners and professionals who are truly best-in-class in their respective industries, and create a sense of responsibility for each member’s growth and success.","","",,"",314.666.0135,http://bapnstl.org,,"","","","",2015,"","","","","","",""
Bosnian Chamber of Commerce,"To promote and maintain a prosperous business environment for the Bosnian community of St. Louis; to develop and provide an attractive atmosphere for the Bosnian business community, and other businesses that help and assist the Bosnian community; and to encourage a fraternal spirit for our membership.","5039 Gravois Ave, Saint Louis, MO 63116","",,"","",https://www.facebook.com/Bosnian-Chamber-of-Commerce-STL-413692435441700/?ref=page_internal,,"","","","",2012,"","","","","","",""
Bulgarian School in Saint Louis,"The goal of the school is to keep the Bulgarian language and traditions alive. Kids can learn the Bulgarian language in a structured class, with Bulgarian language teachers.","12104 Trailways Dr, Saint Louis, MO 63146","",,bulgarianschoolstl@yahoo.com,314.629.2065,http://www.bulgarianschoolinstl.org/,,"","","","",2010,"","","","","","",""
"Caring Ministries, Inc.","Caring Ministries, Inc. stabilizes communities by rehabbing housing in various neighborhoods to provide for refugees, immigrants, and low-income families. Furthermore, they provide closing cost with homes sold by the organization, in addition with a one month mortgage assistance. ","6704 Fyler Ave, Saint Louis, MO 63139","",,"",314.764.5415,http://www.caringministriesinc.org/,,"","","","",2011,"","","","","","",""
Casa de Salud,Provides primary care on-site and access to specialty care via external partners.,"3200 Chouteau Ave, Saint Louis, MO 63103","",,"",314.977.1250,http://www.casadesaludstl.org,,"","","","",2010,"","","","","","",""
Christian Friends of New Americans (CFNA),"The Christian Friends of New Americans educational programs include ESL classes Tuesday and Saturday mornings, Monday, Wednesday, and Thursday evenings, and citizenship classes Wednesday and Thursday evenings. CFNA provides services such as Health and Wellness Screenings, ESL, Driving ESL, After School Tutoring, Ethiopian Tutoring Program, Ethnic Women's Bible Studies, and Scholarship Assistance for New American children to attend Lutheran School Education. ","4019 South Grand Blvd, Saint Louis, MO 63118","",,"",314.517.8513,http://www.cfna-stl.org,,"","","","",2009,"","","","","","",""
Citizens for Modern Transit,"CMT leads efforts for an integrated, affordable, and convenient public transportation system with light rail expansion as the critical component that will drive economic growth to improve quality of life in the St. Louis region, including programs such as Try & Ride (available in Spanish) and Guaranteed Ride Home to encourage transit use.","911 Washington Suite 200, Saint Louis, MO 63101","",,"",314.231.7272,http://cmt-stl.org/,,"","","","",1993,"","","","","","",""
City of St. Louis,"","1200 Market St, Saint Louis, MO 63103","",,"",314.622.4800,https://www.stlouis-mo.gov/,,"","","","",1822,"","","","","","",""
Community Health-In-Partnership Services (CHIPS) Health and Wellness Center,CHIPS promotes wellness and empowers self health management for the uninsured and underserved through preventive and primary health care services.,"2431 N Grand Blvd, Saint Louis, MO 63106-1018","",,"",314.652.9231,http://www.chipsstl.org/,,Pamela Talley,Nurse Practitioner/Director,ptalley@chipsstl.org,"",1990,"","","","","","",""
"Council on American-Islam Relations (CAIR), Missouri",The Council on American-Islam Relation's local chapter of the national organization promotes a positive image of Islam and Muslims in America. Serves as a bridge between Muslims and the wider community. Provides free legal defense against discrimination.,"13408 Clayton Rd, Saint Louis, MO 63131","",,"",636.207.8882,http://www.cair-mo.org/,,"","","","",2000,"","","","","","",""
Crisis Nursery,"The Saint Louis Crisis Nursery is committed to the prevention of child abuse and neglect and provides emergency intervention, respite care and support to families in crisis.","11710 Administration Dr Suite 18, Saint Louis, MO 63146","",,"",314.292.5770; 314.768.3201 (helpline),https://crisisnurserykids.org/,,"DiAnne Mueller, M.S., L.P.C.",CEO,dianne@crisisnurserykids.org,314.292.5770,1986,"","","","","","",""
Diario Digital,"Diario Digital covers international news, sports, sciences, arts, and culture news in St. Louis.","7750 Clayton Road Suite 102, Saint Louis, MO 63117","",,"",314.456.0254,http://diario-digital.com/,,"","","","",2014,"","","","","","",""
Doors To Success,"Provides young adults (ages 17-23) in St. Louis County with job readiness soft skills including completing applications, interviewing, and vocational job assessments.","2200 Bellevue Ave, Saint Louis, MO 63143","",,"",314.781.1878,http://www.stlouisco.com/HealthandWellness/HumanServices/CountyYouthPrograms/DoorstoSuccess,,Sarah,"","",314.614.8454,,"","","","","","",""
El Hispano,El Hispano is a Hispanic newspaper that covers local and world news in Spanish.,"","",,"",314.203.6799 (Esp); 636.614.5628 (Eng),http://www.elhispanostl.com/,,"","","","",,"","","","","","",""
English Tutoring Project (ETP),The English Tutoring (ETP) project provides English tutoring in area Catholic schools.,"336 E Ripa Ave, Saint Louis, MO 63125","",,"",314.633.7095,http://englishtutoringproject.com/,,"","","","",1998,"","","","","","",""
Family Care Health Centers - Forest Park Southeast Location,"Family Care Health Centers is the provider of choice for St. Louisans who value convenience, quality and innovation in primary care. Quality care is provided regardless of an individual’s insurance status. Family Care accepts private, Medicaid and Medicare insurance plans.","4352 Manchester Ave, Saint Louis, MO 63110","",,"",314.531.5444,http://www.fchcstl.org/,,"","","","",1969,"","","","","","",""
Festival of Nations ,"Join us in Tower Grove Park for the region’s premier multicultural celebration, featuring over 40 ethnic food booths, non-stop dance and music, arts and crafts, and an international bazaar with unique gifts from around the world.","","",,"","",http://www.festivalofnationsstl.org/,,"","","","",,"","","","","","",""
Gateway Region YMCA,"Our mission is to put Christian principles into practice through programs that build healthy spirit, mind and body for all.","326 S 21st St 4F, Saint Louis, MO 63103","",,"",314.436.1177,https://www.gwrymca.org/,,Emily Antrobus,Americorps Vista,emily.antrobus@gwrymca.org,314.776.7102  ,1853,"","","","","","",""
Gateway Welcome Project,"An organization formed by several St. Louis construction companies to make the St. Louis Metropolitan Area a welcoming place for foreign-born immigrants and refugees, and their families.","3245 Hampton Ave 2F, Saint Louis, MO 63139","",,"",314.880.2063,http://gatewaywelcomestl.org/,,"","","","",2016,"","","","","","",""
German School Association of Greater St. Louis,"Provides German language instruction and exposure to German culture, customs and traditions for children and adults.","505 S Kirkwood Rd, Kirkwood, MO 63122","",,"",314.300.9339,http://www.germanschoolstl.org,,"","","","",1962,"","","","","","",""
Habitat for Humanity St. Louis,"Habitat Saint Louis has built and rehabbed almost 400 affordable, efficient homes throughout Saint Louis City and County which provide a safe and permanent home for more than 1,500 individuals. These homes are built for first time homebuyers, who would not typically qualify for a traditional home loan.","3830 S Grand Blvd, Saint Louis, MO 63118","",,"",314.371.0400,https://www.habitatstl.org/,,Avis McHugh,Director of Family Services,avis@habitatstl.org,314.371.0400 x612,1987,"","","","","","",""
Health Protection & Education Services (HPES),Health Protection & Education Services provides free health screening services and health education to the underserved and uninsured in St. Louis.,"6900 Delmar, Saint Louis, MO 63130","",,"",314.448.7373,http://www.hpes-stl.org,,"","","","",,"","","","","","",""
HEC-TV,"A non-profit corporation, HEC-TV is the only station with the mission statement “to strengthen and promote the education, arts, and cultural communities in the St. Louis Metropolitan area.”","3221 McKelvey Rd Suite 106, Saint Louis, MO 63044","",,"",314.531.4455,http://www.hectv.org/,,Jayne Ballew,Director of Programming,coordinator@hectv.org,"",,"","","","","","",""
Hispanic Arts Council,The Hispanic Arts Council promotes the excellence of Hispanic culture through arts and education.,"7316 Lindell Blvd Apt A, Saint Louis, MO 63130","",,"",314.863.0570,http://www.hispanicartscouncilstl.org/,,Virginia Braxs,"","","",,"","","","","","",""
Hispanic Bar Association of St. Louis,"HBAstl is a not-for-profit organization of St. Louis-based attorneys and non-attorneys. Our members are dedicated to serving St. Louis’ Hispanic community by promoting involvement in the legal profession, addressing issues in the legal and non-legal community, and advancing equal protection before the law.","150 North Meramec Ave Suite 400, Saint Louis, MO 63105","",,"",314.561.5083,http://www.hbastl.org/,,"","","","",,"","","","","","",""
Hispanic Chamber of Commerce of Metropolitan St. Louis,"Provides networking, business development and Hispanic business enhancement and procurement opportunities to further improve the quality of life of Hispanics and non-Hispanics alike.","3611 South Grand Blvd Suite 105, Saint Louis, MO 63118","",,"",314.644.4432,https://www.hccstl.com/,,"","","","",1982,"","","","","","",""
"Hispanic Educational, Cultural & Scholarship Fund",The Hispanic ECS Fund promotes understanding of the Hispanic culture and works to eliminate prejudice and discrimination among the general public concerning Hispanic minorities.,"PO Box 411872, Saint Louis, MO 63141","",,"",713.261.6384,http://www.hispanicecsfund.org,,"","","","",1998,"","","","","","",""
